factor_name,factor_family,source_type,status,notes
derived__log_total_assets,derived,derived_now,core_keep,preferred size representative from Q01
indicator__roe,indicator,raw_existing,core_keep,primary profitability metric for listed banks
indicator__inc_net_profit_to_shareholders_annual,indicator,raw_existing,core_keep,preferred annual shareholder profit-growth metric from Q03
bank_indicator__Nonperforming_loan_rate,bank_indicator,raw_existing,core_keep,core asset-quality metric
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,raw_existing,core_keep,core loss-absorption metric
bank_indicator__capital_adequacy_ratio,bank_indicator,raw_existing,core_keep,core prudential capital metric
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,raw_existing,core_keep,core high-quality capital metric
bank_indicator__cost_to_income_ratio,bank_indicator,raw_existing,core_keep,core efficiency metric
bank_indicator__deposit_loan_ratio,bank_indicator,raw_existing,core_keep,core funding and balance-sheet structure metric
bank_indicator__net_interest_margin,bank_indicator,raw_existing,core_keep,core banking profitability spread metric
bank_indicator__non_interest_income_ratio,bank_indicator,raw_existing,core_keep,core revenue-structure metric
derived__staff_cash_to_operating_revenue,derived,derived_now,secondary_candidate,labor-cost intensity candidate from Q01
derived__investment_income_to_operating_revenue,derived,derived_now,secondary_candidate,fallback Q06 contribution ratio until investment-asset denominator is available
income__minority_profit,income,raw_existing,watch_only,statistically strong but needs extra accounting interpretation before core use
indicator__eps,indicator,raw_existing,watch_only,usable but not prioritized ahead of ROE and prudential bank metrics
